Generator_loss,Discriminator_loss
1.3210264,0.98897666
1.4745115,0.8692394
3.687785,0.59000826
3.8496263,0.70123595
3.880246,0.33347222
3.6722915,0.5033739
4.5205984,0.4783035
4.0170846,0.54076064
3.8136604,0.53780776
3.7237031,0.38952044
3.7569861,0.39088568
3.1770205,0.6345251
3.1293342,0.52863055
3.1801083,0.56028825
3.5473068,0.39382446
4.03149,0.31870255
3.9897826,0.3424184
3.8743386,0.25629863
4.3540745,0.51943773
3.405206,0.4271005
3.8420513,0.35913527
3.551608,0.33917958
4.046716,0.49769154
3.000188,0.53973657
3.506581,0.38779873
3.7644036,0.34781957
3.5077462,0.47927168
3.2689302,0.52979046
3.1374226,0.5037407
3.3848555,0.42655787
3.5614052,0.44190994
3.5210626,0.45887014
3.0890312,0.5471994
3.1667361,0.4893546
2.9669359,0.50725883
2.8990874,0.5677158
2.7583764,0.5620789
3.0819373,0.49324796
2.876855,0.55850744
2.8693743,0.54273385
3.0639963,0.5065303
3.0662525,0.49039114
2.955552,0.50227785
3.1132915,0.4385699
2.9277573,0.5481438
2.5923529,0.5868474
2.700795,0.657575
2.5623407,0.61409485
2.6207085,0.57627445
2.5343585,0.65679264
2.4875908,0.6362245
2.3414838,0.6571436
2.3810527,0.69061476
2.4829483,0.63201773
2.4045997,0.6648803
2.5415585,0.63475394
2.359323,0.67141217
2.4052718,0.6747832
2.2505462,0.6741327
2.4543633,0.64584786
2.6685932,0.6615588
2.6498783,0.66108
2.6662364,0.65414834
2.6602843,0.6634533
2.6676385,0.6612487
2.6578171,0.6596153
2.6688054,0.6606641
2.6708236,0.66259223
2.6607656,0.66462135
2.6605191,0.66556805
2.6534,0.65981936
2.6632373,0.6648109
2.6731718,0.6691553
2.6659386,0.6616577
2.6579454,0.6621336
2.673134,0.6644209
2.6639678,0.6641829
2.6599116,0.66528904
2.6592965,0.6642026
2.6709065,0.65805745
2.6693196,0.6669126
2.665355,0.6566626
2.6722045,0.65708596
2.677554,0.6624783
2.6740932,0.66289634
2.6676824,0.66193223
2.6697621,0.6589854
2.6563478,0.6641049
2.6549568,0.66739917
2.666617,0.6640983
2.6616387,0.6578577
2.6675584,0.6610734
